date,days,avgCwtX1,avgCwtX2,avgCwtX3,avgCwtX4,avgCwtX5,avgCwtX6,avgCwtX7,avgCwtX8,avgCwtX9,avgCwtX10,avgCwtX11,avgCwtX12,avgCwtX13,avgCwtX14,avgCwtX15,avgCwtX16,avgCwtX17,avgCwtX18,avgCwtX19,avgCwtX20,waterColY
09/07/2017,38,268.167474,335.1746311,385.3806665,411.3565598,413.931531,397.8916944,366.021036,320.0613625,266.1211792,214.6028725,171.6767639,135.2850772,101.035922,69.69662051,45.75037713,31.83792597,25.4590375,21.89821211,18.7482292,15.82885838,6.76040512
10/07/2017,39,265.4788975,332.7075364,383.6820446,410.8529375,414.8054839,399.5648646,367.0593516,319.0231522,263.117949,210.9445102,167.5499234,129.9716537,94.50620276,62.55940082,38.58387253,25.25964874,20.25380999,18.29817321,16.63055258,14.59185675,6.7697908
11/07/2017,40,266.2753922,333.1681101,382.6030058,406.7556244,407.5339608,391.3384672,359.9608742,313.6420554,257.2392111,198.8737117,145.6096003,102.2017205,69.64964745,46.99790926,33.4282436,26.46976621,22.45928125,18.63415399,14.30494607,10.54059715,6.7697908
12/07/2017,41,272.2875405,343.289804,396.7084986,423.8730275,426.8311777,411.6925928,380.1202644,332.6749644,275.2163508,218.2590168,170.9519392,132.9277861,98.22792176,65.78387502,40.44639674,26.44593439,21.39359391,19.85062253,18.08128087,15.58937523,6.772657872
13/07/2017,42,242.5287584,305.2455566,352.5310605,377.2264367,380.9730828,369.0676093,343.5141084,304.0487008,253.9779277,200.5487457,151.9219111,111.240852,76.47932687,46.82022843,25.22346226,13.57591464,9.685481147,9.374899118,9.499279318,9.042581564,6.775888193
14/07/2017,43,256.4724747,325.1476248,378.714355,407.8635417,411.7709995,395.9387755,366.5231395,327.1437153,280.8226754,231.7252838,184.1385982,140.2293766,100.3811329,66.47689591,41.54703918,26.58888057,19.51662042,16.33340436,14.03826094,11.94983919,6.77822352
15/07/2017,44,293.5580384,364.9000035,415.885497,439.0304064,437.628704,419.0929812,385.8870159,338.0074835,281.2428868,226.4167939,180.3305898,142.1268629,108.7039054,79.09361993,54.90613632,38.42026397,29.10718295,23.91731485,20.4907012,17.65737739,6.781843344
16/07/2017,45,309.0560073,382.2009928,433.1855383,455.4290931,453.1532925,433.1778127,397.4592852,345.9884553,284.1626005,223.559025,171.1902873,127.389868,91.05961228,63.06619514,44.81319878,36.08400835,32.39382776,29.39106944,25.33221704,20.28744541,6.78592352
17/07/2017,46,241.3250151,312.3604922,371.1769272,406.4460239,415.2715537,402.7990545,376.2028138,340.3529841,297.9625348,250.6956269,202.2092403,156.5317875,115.6634218,81.82338837,58.14539084,45.04249634,38.81453852,34.10548402,27.87696386,21.03755647,6.793098144
18/07/2017,47,286.2729073,358.0337285,411.8401259,440.2089539,444.5727636,429.1733042,396.3364979,348.7622594,293.3872849,240.5335701,197.9381865,164.5795581,132.6772653,100.6689211,71.96336236,50.97656861,38.36260808,30.47395946,24.6943442,19.92662833,6.802978128
19/07/2017,48,313.696274,386.9012855,438.0404904,460.7737236,459.2021898,440.0719453,406.6901904,358.0005512,294.936237,225.2162313,160.718581,109.9186807,72.51912606,44.97036215,26.04194861,16.99664046,16.05756102,17.46987935,17.9459973,16.52285655,6.804373928
20/07/2017,49,222.9172707,284.5070141,334.1346981,363.2909462,370.6322027,360.6865337,338.1355597,304.1800903,260.6386938,213.3478927,169.2917225,130.9491026,95.56101633,62.17462725,35.42571879,20.6459626,16.25734345,15.69569419,14.8126011,12.64528885,6.819659728
21/07/2017,50,252.1447828,319.5837354,372.8759984,402.9818742,408.5693298,394.5132622,365.524147,322.4807737,267.7753313,208.8877809,155.6651701,112.8078139,79.08084756,52.55468098,33.88272363,23.64942823,19.64961266,18.20142697,16.86519567,14.99172427,6.82804301
22/07/2017,51,289.971894,358.7731245,407.5858263,430.4284659,429.9790476,411.1082217,376.5256171,331.1270199,282.5349315,235.7095126,193.7998085,157.5014426,123.1270362,90.46710904,63.4664284,44.91355991,33.76312351,26.37287191,20.17040077,15.07968293,6.8286724
23/07/2017,52,296.5939358,368.6569797,420.0238374,444.0287248,444.7070789,428.343539,396.0768278,347.6840052,288.6424564,228.1445034,173.8262435,128.2350768,90.22401558,57.7646416,32.37302473,16.76439747,10.81171137,10.13559194,10.32062989,10.14166665,6.833892448
24/07/2017,53,317.5243997,392.8323579,444.6732515,465.8934814,462.1911755,443.9243888,415.1881535,373.552692,319.3624685,259.7638235,204.1021147,156.6624439,115.686274,80.16707817,51.36621622,31.04303466,19.85744975,15.31654612,14.00006667,12.89156275,6.84101375
25/07/2017,54,233.6290912,298.5007792,350.8763758,381.4081071,388.1012971,375.2729909,347.8604078,309.0648253,262.8946252,214.6999014,169.2936976,128.5062392,91.94948582,60.27512557,36.05884898,21.40247352,14.99991662,13.3119106,12.87998454,12.05539768,6.84334301
26/07/2017,55,268.167525,339.2689178,394.2394785,423.5975274,426.8554165,409.3945453,376.4082474,331.0523245,278.2802753,224.917621,176.026017,132.6618425,94.08865539,60.96490364,35.80116379,20.51223788,14.08664051,12.8129041,13.15462965,13.67190051,6.850028328
27/07/2017,56,248.0466411,312.1294592,360.5837382,385.7396016,388.8714239,375.9233027,350.183177,311.3726786,260.5928016,203.622498,149.5731409,104.8982366,69.64469061,42.23607562,23.18277366,12.9721926,9.561551211,8.989048434,9.181482431,9.55449229,6.85071143
28/07/2017,57,329.4934752,402.2109064,449.9800936,467.8774091,461.7130264,438.392311,400.5947109,349.6541044,290.3036262,231.4663944,180.4113331,138.5441362,103.0835315,73.54109819,51.70834485,37.72418827,30.30506936,26.33319964,23.52091899,20.69379764,6.8547092
29/07/2017,58,277.2147095,342.0899241,388.211058,410.6618945,412.4337483,397.5208723,367.2459895,322.8309786,268.6982193,213.4313764,166.3363583,130.0598925,99.14053448,71.51810374,50.05462763,36.79527806,30.61757582,27.48087605,24.59846912,21.44223136,6.857469328
30/07/2017,59,309.5338213,379.5378379,427.8073972,449.0052723,447.143734,427.9777968,392.6952381,341.5160909,280.7035106,219.7131232,164.5344255,116.9523184,77.78634093,49.9322661,33.62511963,26.01636308,23.09360494,20.98105633,17.85770014,14.09368612,6.8574724
31/07/2017,60,300.5542188,367.8247182,412.6484987,430.2533502,425.8863375,404.552961,366.5490161,313.5847326,253.0532386,195.7624213,149.2370019,112.2989989,81.17040658,55.49138063,37.22357765,27.13954214,22.88300289,20.44149818,17.56187747,14.45804294,6.8605092
01/08/2017,61,221.6131224,286.427049,339.9592783,372.231522,381.3126496,372.163935,349.110506,312.9897092,266.7122976,216.8731669,170.407752,129.6747695,92.69052699,59.764848,34.52857103,19.08698062,12.18012573,10.11910284,9.585393971,9.300681705,6.868078008
02/08/2017,62,313.5336239,388.7921971,442.5294298,467.0812436,465.0404231,443.1032287,405.0669885,353.2987562,293.9411819,236.7539005,187.8265628,145.9264371,108.0499708,74.6008816,48.76583887,32.10694243,24.04302127,20.87253085,19.21469263,18.35425806,6.877387936
03/08/2017,63,303.6951172,368.4448837,410.8657705,427.8525045,425.2089575,408.8818643,379.3483691,335.1705046,279.2143237,220.8016144,169.7734372,128.7735028,94.2421052,64.96017968,42.33696857,27.47107097,19.25999098,14.69592285,11.63411423,9.705916579,6.8821276
04/08/2017,64,242.6037224,308.5535123,360.2007944,388.350895,392.5152846,378.7586735,353.2050995,319.4040761,280.8151252,240.8454968,201.7822834,163.9352567,125.2217953,86.08038717,52.34238535,29.84335037,18.50908813,14.23621066,12.65406337,11.63475995,6.89997648
05/08/2017,65,262.7932343,331.3288703,384.0432068,412.1941778,415.8152294,399.9594227,368.8150217,325.2598494,272.9595082,219.0570208,171.6940515,133.4279267,100.9801068,72.30156602,50.0227319,36.56588422,29.99000309,25.96748848,21.82214704,17.52890446,6.91052352
06/08/2017,66,255.9579081,323.2479746,374.0750656,399.8301087,401.909719,388.1948059,364.6676375,333.2463794,295.7103255,254.7675658,212.9699227,171.4847958,129.7457797,89.1755532,55.34783226,34.08954556,24.96153161,22.18047257,19.48570685,15.26469507,6.9129724
07/08/2017,67,299.6174902,370.6187346,420.4532723,442.7409137,441.5830907,424.0815099,393.4749601,350.6548161,298.363933,243.4106673,193.9120292,152.9117041,116.191636,81.84182389,54.55188521,39.72541194,35.11047853,33.32811277,30.72823668,26.31378158,6.9141092
08/08/2017,68,300.6497238,369.7891793,417.7358957,438.4937734,435.3954332,413.6842851,376.3114592,326.9006253,271.6631706,217.8639314,171.6175374,133.6846,100.8657482,72.71739455,51.84398244,39.48254442,32.77220726,27.46347652,22.03960023,17.29026056,6.914419856
09/08/2017,69,266.9246343,338.4529475,395.178901,428.4569796,438.16849,428.6469954,402.3287779,360.4081663,307.7369684,254.4571783,208.7085504,169.099882,129.3218999,88.90839554,55.03119895,33.96247106,25.24293422,22.4718694,20.16480482,17.45010394,6.91727648
10/08/2017,70,290.9708916,360.6406439,410.7856429,435.1465243,436.6362038,419.9683872,387.4233223,340.9809084,286.4049132,233.199195,187.4229196,147.1425862,108.3410373,71.87683475,42.9257986,26.90646616,22.49070761,22.39097078,21.91659119,20.14348125,6.91727648
11/08/2017,71,324.6264558,402.4818365,459.7126999,489.5497556,494.6383496,480.5195695,449.6905017,402.8212359,344.3233276,283.4145641,227.8558982,178.7674748,133.5926887,92.41218291,59.37677507,39.28470318,31.29062788,28.05751867,24.27831611,19.36058277,6.918631072
12/08/2017,72,284.3372535,353.8255451,404.6335865,429.406057,429.6913586,411.2788373,377.0320727,328.3969587,270.8485463,213.2341496,162.6381792,121.1785539,86.5524439,57.7065677,36.71716598,25.61379504,21.6432654,20.31050759,18.80131482,16.30539731,6.9187724
13/08/2017,73,312.9507798,386.4074603,437.8382069,460.2555088,457.4271802,437.1410825,402.7145556,354.3081753,295.5204987,234.2531096,178.7961019,132.3202413,94.01874237,63.32739812,41.34514474,28.78903197,23.76823517,22.93964097,23.44843391,24.07060146,6.9256092
14/08/2017,74,303.8723425,375.6424233,425.3116506,445.8088512,441.2319271,420.0317788,385.8739447,338.4900227,279.6894659,216.0597117,158.0616472,113.0955764,79.6341106,53.31362453,33.32141813,21.1801594,15.85196247,14.10146103,12.9745756,11.2698315,6.933723728
15/08/2017,75,292.7059525,363.3318502,413.9464797,437.529831,437.2605454,419.7093985,387.017202,339.2045294,279.724463,217.9739275,164.2987343,121.7372046,86.09688656,55.50874827,32.68954916,19.6977605,15.24897308,14.66578253,14.21558442,12.87526183,6.936501128
16/08/2017,76,371.9277463,456.8727557,513.9980246,536.1393095,530.2669034,507.6427371,472.1360664,422.8839858,363.1938889,299.8932575,238.0236686,181.1697843,130.9212892,88.20331036,56.25419315,37.79146158,30.06761343,26.39863443,22.67419481,18.16125946,6.940667072
17/08/2017,77,350.131381,427.6020522,479.6289228,501.0241431,496.7733598,472.6973886,430.4334119,371.1334214,301.4396374,232.1647609,172.5501002,125.4156038,88.99391202,61.18527021,41.88565989,32.12881944,29.13638475,27.59542221,24.44619279,19.92444788,6.941883248
18/08/2017,78,309.2814986,381.214303,431.4691106,454.2463538,453.7768838,436.0803437,403.1883886,356.2610251,299.757516,241.365881,187.6017073,140.1901504,98.08922844,62.86901982,37.9053674,24.08343998,18.2703255,15.72043702,13.71073206,11.82375815,6.945568928
19/08/2017,79,362.3486042,444.6998107,499.5809243,519.8888713,511.3869242,482.4598518,436.4552186,376.3284885,309.4571345,245.506399,189.8558182,143.3051707,105.4226371,76.40972398,56.45812444,44.92377642,38.99616332,35.22433922,31.68471336,28.17363872,6.949756048
20/08/2017,80,356.298929,434.6629582,485.5629828,503.9708261,498.2613726,477.0375761,440.0419592,386.6979835,322.1464258,256.3197463,197.4136165,148.5193473,108.5878122,76.89851446,54.42201772,41.32262471,34.82655109,30.48649055,26.10828764,21.38861652,6.96457227
21/08/2017,81,280.976708,357.4738191,416.8928669,448.3224516,451.7171333,434.265461,399.463534,348.9931692,289.8307149,230.7148503,178.0646876,133.3455516,94.33096497,60.75812504,35.85622457,22.63161723,18.77471471,18.16509803,17.45250771,16.38878679,6.964841728
22/08/2017,82,358.0355915,437.5940601,489.6988054,508.8811595,502.6759322,479.7058547,440.6725985,384.5382017,315.2158946,243.3476342,179.8653969,128.2872881,87.41092693,57.11484701,37.54915996,28.11969996,25.24144496,23.55720005,20.72602825,17.18527412,6.971878248
23/08/2017,83,293.8176926,361.3212925,407.0463605,425.3380291,421.9709875,405.8827291,378.7489856,338.5409273,285.6961015,225.5418998,167.1640115,118.1436281,81.77102477,57.64832145,43.19325448,35.03871635,30.25202377,26.28409495,21.72760155,16.8492689,6.97206832
24/08/2017,84,299.0702019,372.0819939,424.9988795,450.1280241,450.6354859,433.437876,400.1564096,350.051345,287.7233913,222.811655,166.4586377,121.5804544,84.20179935,53.30121075,31.4177708,19.69444933,16.1210765,15.38392065,14.43946626,12.77439349,6.97320512
25/08/2017,85,288.5950397,355.2276913,401.6094511,421.7511274,418.5856603,397.4240102,360.8116314,311.1933898,254.579961,198.1092049,146.4121238,103.0842084,70.12605562,46.86780532,31.97828917,23.7816798,19.95601294,18.00716156,16.57196752,15.80460004,6.976901648
26/08/2017,86,286.1292428,350.0542009,393.6236452,412.8852981,412.1307521,395.1808037,361.5004249,311.4090918,250.8822745,189.7364117,136.5744253,95.56807146,65.66829927,43.7058019,28.21960084,18.96688675,15.04548358,13.76401358,12.77229278,11.41335074,6.979267592
27/08/2017,87,294.4075802,364.1379366,412.2526502,431.6991606,426.8234496,406.1239515,374.2442468,331.8392782,279.9346562,224.2481608,172.3106593,127.081414,87.46278971,54.27318104,30.57924287,18.22831521,15.23991557,15.35189255,14.91244287,13.34834563,6.98408672
28/08/2017,88,300.7104715,367.081301,412.2261718,432.1099829,430.8941002,412.9933624,379.8055212,332.5411408,275.9052325,216.887883,162.5038483,117.1711618,81.31076154,54.26597173,36.30675718,26.46991132,21.91953506,19.33158768,17.11239438,15.24855294,6.98408672
29/08/2017,89,249.947857,313.0474901,359.6823804,382.432772,383.005373,367.2399533,337.9761476,297.2776774,250.4895486,203.9715461,160.731307,121.1363436,85.71757088,55.86936155,33.95836425,20.52721201,13.97781537,11.58694547,10.95409733,10.89310823,6.98408672
30/08/2017,90,282.7837027,352.3897602,402.2704177,425.4547856,425.6233713,409.4455399,378.7674264,333.5628726,277.9028839,219.2924659,164.7037583,117.791596,79.79032818,50.3030794,29.74026015,18.62587282,14.92363982,14.29851577,13.71388152,12.58653711,6.9839724
31/08/2017,91,326.328209,402.2537919,454.9262528,477.4106869,473.7302264,451.3843583,413.9327072,363.3691922,305.7976193,249.0432978,198.6070816,154.2326894,113.317464,75.95686363,46.11463046,27.16960925,18.48454218,15.45329392,13.59663737,11.80834984,6.9839724
01/09/2017,92,330.3587519,402.5656186,449.4049731,465.973798,459.1512519,436.9096956,400.6841206,350.2015607,289.4752422,226.5539026,169.180821,120.9500432,82.02373754,52.62463262,33.29034888,23.10110841,19.33043558,17.83441105,16.28529933,14.15468207,6.98408672
02/09/2017,93,360.2579257,430.8687413,472.0048005,481.2387498,466.5623039,435.2388611,391.1868322,339.0504083,287.076937,242.6496684,207.5550472,176.2310671,141.7214443,104.2289061,70.74933672,48.17847212,36.78288619,30.32163579,24.55942558,19.29419672,6.9839724
03/09/2017,94,343.3823562,413.9958715,457.6744729,470.4623317,458.7317546,429.6210111,387.4952757,336.6730127,283.2380932,233.7933213,192.5444018,158.2863389,127.1690531,98.50927229,74.72435541,57.39537813,45.55577437,36.19744381,28.34411477,22.47243449,6.9839724
04/09/2017,94.9999941,318.2583723,389.314346,436.8619244,455.6015719,450.1745084,427.2295564,389.9555977,340.9157851,285.2590351,231.8599894,184.907246,145.4816634,110.2382923,78.83574377,55.02377514,39.93921928,31.63364292,26.5655043,22.44022587,18.70563158,6.9839724
05/09/2017,96.00000187,319.2054334,390.4143359,438.0858121,457.00019,451.6735573,428.7415735,391.5320028,342.3570187,286.6106201,233.370226,187.0492855,148.0433404,112.9630295,81.47106798,57.23115593,41.63377853,33.01886958,27.71679497,23.30207072,19.25075684,6.9839724
06/09/2017,96.99999477,320.0923492,391.4295835,439.2054432,458.2608989,453.0494788,430.1906914,393.1023075,343.8579023,288.0410188,234.9229154,189.2324958,150.6088063,115.6724569,84.12185385,59.48129968,43.37054753,34.44269576,28.90595507,24.20080829,19.82350061,6.984646328
07/09/2017,98.00001779,320.9294803,392.3698012,440.2245753,459.3808785,454.2884697,431.5523728,394.648736,345.4682323,289.6162572,236.6120313,191.5346975,153.2821825,118.4626115,86.8269593,61.77366566,45.14200154,35.89796416,30.1263386,25.12987251,20.41888908,6.985976272
08/09/2017,99,302.5219152,370.2720899,416.5276937,435.5646164,430.8207349,407.6882756,368.6744111,316.5850055,258.0644097,201.8065639,154.0103883,116.1117622,86.39290852,64.03619125,48.90507673,39.60466907,33.48866737,28.01384794,22.31755034,17.0471381,6.987727408
09/09/2017,100,343.3587335,419.4147809,470.4600929,490.1381257,482.1209739,454.0213535,411.0331118,356.8578359,298.7580328,245.1466352,198.6995895,158.2019084,122.5694117,91.68962819,66.79109981,48.79298556,38.04279508,31.77239542,27.05581542,22.74543614,6.987727408
10/09/2017,101,362.4423621,433.8712254,475.6151316,485.7893184,474.0905294,448.187913,410.2419772,363.6716431,315.4060316,269.9678809,229.9890102,192.4173037,152.1080884,111.2960949,78.184985,58.50032573,49.25110334,42.59393539,35.14620496,26.94341623,6.985976272
11/09/2017,102,308.8977673,384.7285586,439.9610498,466.8815704,468.8939016,452.5545464,420.2770637,372.860421,313.8850042,253.1543324,201.3990684,161.6697959,129.7411633,101.8130853,79.41616875,63.66620226,52.08578028,42.16676718,33.03798071,25.18646802,6.985976272
12/09/2017,103,333.9687684,407.8447066,456.5900265,474.6019224,466.971265,440.7530264,399.9106911,346.8768445,288.2374396,236.3041453,198.1443257,167.0846552,135.0797767,101.9759286,72.92533639,53.01191059,42.47230222,36.82256685,31.81445121,25.97036195,6.985976272
